Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,controller,wsp,_seed,_amp,Phase,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,4,29.96,1010,0.2096,0.8544921875,5.68,dlc11_4_ipcpi_a4_+29_10_1010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,1,-29.96,2010,0.2096,0.8544921875,1.42,dlc11_4_ipcpi_a1_-29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,1,29.96,2010,0.2096,0.8544921875,1.42,dlc11_4_ipcpi_a1_+29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,2,-29.96,2010,0.2096,0.8544921875,2.84,dlc11_4_ipcpi_a2_-29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,2,29.96,2010,0.2096,0.8544921875,2.84,dlc11_4_ipcpi_a2_+29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,3,-29.96,2010,0.2096,0.8544921875,4.26,dlc11_4_ipcpi_a3_-29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,3,29.96,2010,0.2096,0.8544921875,4.26,dlc11_4_ipcpi_a3_+29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,4,-29.96,2010,0.2096,0.8544921875,5.68,dlc11_4_ipcpi_a4_-29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,2,4,29.96,2010,0.2096,0.8544921875,5.68,dlc11_4_ipcpi_a4_+29_10_2010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,1,-29.96,3010,0.2096,0.8544921875,1.42,dlc11_4_ipcpi_a1_-29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,1,29.96,3010,0.2096,0.8544921875,1.42,dlc11_4_ipcpi_a1_+29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,2,-29.96,3010,0.2096,0.8544921875,2.84,dlc11_4_ipcpi_a2_-29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,2,29.96,3010,0.2096,0.8544921875,2.84,dlc11_4_ipcpi_a2_+29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,3,-29.96,3010,0.2096,0.8544921875,4.26,dlc11_4_ipcpi_a3_-29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,3,29.96,3010,0.2096,0.8544921875,4.26,dlc11_4_ipcpi_a3_+29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,4,-29.96,3010,0.2096,0.8544921875,5.68,dlc11_4_ipcpi_a4_-29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,3,4,29.96,3010,0.2096,0.8544921875,5.68,dlc11_4_ipcpi_a4_+29_10_3010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,1,-29.96,1012,0.19466666666666665,1.025390625,1.42,dlc11_4_ipcpi_a1_-29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,1,29.96,1012,0.19466666666666665,1.025390625,1.42,dlc11_4_ipcpi_a1_+29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,2,-29.96,1012,0.19466666666666665,1.025390625,2.84,dlc11_4_ipcpi_a2_-29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,2,29.96,1012,0.19466666666666665,1.025390625,2.84,dlc11_4_ipcpi_a2_+29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,3,-29.96,1012,0.19466666666666665,1.025390625,4.26,dlc11_4_ipcpi_a3_-29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,3,29.96,1012,0.19466666666666665,1.025390625,4.26,dlc11_4_ipcpi_a3_+29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,4,-29.96,1012,0.19466666666666665,1.025390625,5.68,dlc11_4_ipcpi_a4_-29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,1,4,29.96,1012,0.19466666666666665,1.025390625,5.68,dlc11_4_ipcpi_a4_+29_12_1012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,1,-29.96,2012,0.19466666666666665,1.025390625,1.42,dlc11_4_ipcpi_a1_-29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,1,29.96,2012,0.19466666666666665,1.025390625,1.42,dlc11_4_ipcpi_a1_+29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,2,-29.96,2012,0.19466666666666665,1.025390625,2.84,dlc11_4_ipcpi_a2_-29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,2,29.96,2012,0.19466666666666665,1.025390625,2.84,dlc11_4_ipcpi_a2_+29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,3,-29.96,2012,0.19466666666666665,1.025390625,4.26,dlc11_4_ipcpi_a3_-29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,3,29.96,2012,0.19466666666666665,1.025390625,4.26,dlc11_4_ipcpi_a3_+29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,4,-29.96,2012,0.19466666666666665,1.025390625,5.68,dlc11_4_ipcpi_a4_-29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,2,4,29.96,2012,0.19466666666666665,1.025390625,5.68,dlc11_4_ipcpi_a4_+29_12_2012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,1,-29.96,3012,0.19466666666666665,1.025390625,1.42,dlc11_4_ipcpi_a1_-29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,1,29.96,3012,0.19466666666666665,1.025390625,1.42,dlc11_4_ipcpi_a1_+29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,2,-29.96,3012,0.19466666666666665,1.025390625,2.84,dlc11_4_ipcpi_a2_-29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,2,29.96,3012,0.19466666666666665,1.025390625,2.84,dlc11_4_ipcpi_a2_+29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,3,-29.96,3012,0.19466666666666665,1.025390625,4.26,dlc11_4_ipcpi_a3_-29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,3,29.96,3012,0.19466666666666665,1.025390625,4.26,dlc11_4_ipcpi_a3_+29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,4,-29.96,3012,0.19466666666666665,1.025390625,5.68,dlc11_4_ipcpi_a4_-29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,12,3,4,29.96,3012,0.19466666666666665,1.025390625,5.68,dlc11_4_ipcpi_a4_+29_12_3012
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,1,-29.96,1014,0.184,1.1962890625,1.42,dlc11_4_ipcpi_a1_-29_14_1014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,1,29.96,1014,0.184,1.1962890625,1.42,dlc11_4_ipcpi_a1_+29_14_1014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,2,-29.96,1014,0.184,1.1962890625,2.84,dlc11_4_ipcpi_a2_-29_14_1014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,2,29.96,1014,0.184,1.1962890625,2.84,dlc11_4_ipcpi_a2_+29_14_1014
