Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,Phase,controller,wsp,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,1,4,1018,0.1697777777777778,1.5380859375,5.68,dlc11_3_ipcpi_a4_18_1018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,2,1,2018,0.1697777777777778,1.5380859375,1.42,dlc11_3_ipcpi_a1_18_2018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,2,2,2018,0.1697777777777778,1.5380859375,2.84,dlc11_3_ipcpi_a2_18_2018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,2,3,2018,0.1697777777777778,1.5380859375,4.26,dlc11_3_ipcpi_a3_18_2018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,2,4,2018,0.1697777777777778,1.5380859375,5.68,dlc11_3_ipcpi_a4_18_2018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,3,1,3018,0.1697777777777778,1.5380859375,1.42,dlc11_3_ipcpi_a1_18_3018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,3,2,3018,0.1697777777777778,1.5380859375,2.84,dlc11_3_ipcpi_a2_18_3018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,3,3,3018,0.1697777777777778,1.5380859375,4.26,dlc11_3_ipcpi_a3_18_3018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,3,4,3018,0.1697777777777778,1.5380859375,5.68,dlc11_3_ipcpi_a4_18_3018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,1,1,1020,0.1648,1.708984375,1.42,dlc11_3_ipcpi_a1_20_1020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,1,2,1020,0.1648,1.708984375,2.84,dlc11_3_ipcpi_a2_20_1020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,1,3,1020,0.1648,1.708984375,4.26,dlc11_3_ipcpi_a3_20_1020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,1,4,1020,0.1648,1.708984375,5.68,dlc11_3_ipcpi_a4_20_1020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,2,1,2020,0.1648,1.708984375,1.42,dlc11_3_ipcpi_a1_20_2020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,2,2,2020,0.1648,1.708984375,2.84,dlc11_3_ipcpi_a2_20_2020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,2,3,2020,0.1648,1.708984375,4.26,dlc11_3_ipcpi_a3_20_2020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,2,4,2020,0.1648,1.708984375,5.68,dlc11_3_ipcpi_a4_20_2020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,3,1,3020,0.1648,1.708984375,1.42,dlc11_3_ipcpi_a1_20_3020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,3,2,3020,0.1648,1.708984375,2.84,dlc11_3_ipcpi_a2_20_3020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,3,3,3020,0.1648,1.708984375,4.26,dlc11_3_ipcpi_a3_20_3020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,20,3,4,3020,0.1648,1.708984375,5.68,dlc11_3_ipcpi_a4_20_3020
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,1,1,1022,0.16072727272727275,1.8798828125,1.42,dlc11_3_ipcpi_a1_22_1022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,1,2,1022,0.16072727272727275,1.8798828125,2.84,dlc11_3_ipcpi_a2_22_1022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,1,3,1022,0.16072727272727275,1.8798828125,4.26,dlc11_3_ipcpi_a3_22_1022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,1,4,1022,0.16072727272727275,1.8798828125,5.68,dlc11_3_ipcpi_a4_22_1022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,2,1,2022,0.16072727272727275,1.8798828125,1.42,dlc11_3_ipcpi_a1_22_2022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,2,2,2022,0.16072727272727275,1.8798828125,2.84,dlc11_3_ipcpi_a2_22_2022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,2,3,2022,0.16072727272727275,1.8798828125,4.26,dlc11_3_ipcpi_a3_22_2022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,2,4,2022,0.16072727272727275,1.8798828125,5.68,dlc11_3_ipcpi_a4_22_2022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,3,1,3022,0.16072727272727275,1.8798828125,1.42,dlc11_3_ipcpi_a1_22_3022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,3,2,3022,0.16072727272727275,1.8798828125,2.84,dlc11_3_ipcpi_a2_22_3022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,3,3,3022,0.16072727272727275,1.8798828125,4.26,dlc11_3_ipcpi_a3_22_3022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,22,3,4,3022,0.16072727272727275,1.8798828125,5.68,dlc11_3_ipcpi_a4_22_3022
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,1,1,1024,0.15733333333333335,2.05078125,1.42,dlc11_3_ipcpi_a1_24_1024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,1,2,1024,0.15733333333333335,2.05078125,2.84,dlc11_3_ipcpi_a2_24_1024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,1,3,1024,0.15733333333333335,2.05078125,4.26,dlc11_3_ipcpi_a3_24_1024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,1,4,1024,0.15733333333333335,2.05078125,5.68,dlc11_3_ipcpi_a4_24_1024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,2,1,2024,0.15733333333333335,2.05078125,1.42,dlc11_3_ipcpi_a1_24_2024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,2,2,2024,0.15733333333333335,2.05078125,2.84,dlc11_3_ipcpi_a2_24_2024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,2,3,2024,0.15733333333333335,2.05078125,4.26,dlc11_3_ipcpi_a3_24_2024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,2,4,2024,0.15733333333333335,2.05078125,5.68,dlc11_3_ipcpi_a4_24_2024
