Tstart,Tstop,Nx,logfolder,resfolder,yaw,Phase,Kp,wsp,controller,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,1,1,1010,0.2096,0.8544921875,1.12,dlc15_2_ipc04_a1_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,1,2,1010,0.2096,0.8544921875,2.24,dlc15_2_ipc04_a2_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,1,3,1010,0.2096,0.8544921875,3.3600000000000003,dlc15_2_ipc04_a3_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,1,4,1010,0.2096,0.8544921875,4.48,dlc15_2_ipc04_a4_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,2,1,2010,0.2096,0.8544921875,1.12,dlc15_2_ipc04_a1_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,2,2,2010,0.2096,0.8544921875,2.24,dlc15_2_ipc04_a2_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,2,3,2010,0.2096,0.8544921875,3.3600000000000003,dlc15_2_ipc04_a3_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,2,4,2010,0.2096,0.8544921875,4.48,dlc15_2_ipc04_a4_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,3,1,3010,0.2096,0.8544921875,1.12,dlc15_2_ipc04_a1_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,3,2,3010,0.2096,0.8544921875,2.24,dlc15_2_ipc04_a2_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,3,3,3010,0.2096,0.8544921875,3.3600000000000003,dlc15_2_ipc04_a3_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc04,3,4,3010,0.2096,0.8544921875,4.48,dlc15_2_ipc04_a4_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,1,1,1010,0.2096,0.8544921875,1.39,dlc15_2_ipc07_a1_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,1,2,1010,0.2096,0.8544921875,2.78,dlc15_2_ipc07_a2_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,1,3,1010,0.2096,0.8544921875,4.17,dlc15_2_ipc07_a3_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,1,4,1010,0.2096,0.8544921875,5.56,dlc15_2_ipc07_a4_10_1010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,2,1,2010,0.2096,0.8544921875,1.39,dlc15_2_ipc07_a1_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,2,2,2010,0.2096,0.8544921875,2.78,dlc15_2_ipc07_a2_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,2,3,2010,0.2096,0.8544921875,4.17,dlc15_2_ipc07_a3_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,2,4,2010,0.2096,0.8544921875,5.56,dlc15_2_ipc07_a4_10_2010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,3,1,3010,0.2096,0.8544921875,1.39,dlc15_2_ipc07_a1_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,3,2,3010,0.2096,0.8544921875,2.78,dlc15_2_ipc07_a2_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,3,3,3010,0.2096,0.8544921875,4.17,dlc15_2_ipc07_a3_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,10,ipc07,3,4,3010,0.2096,0.8544921875,5.56,dlc15_2_ipc07_a4_10_3010
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,1,1,1012,0.19466666666666665,1.025390625,1.12,dlc15_2_ipc04_a1_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,1,2,1012,0.19466666666666665,1.025390625,2.24,dlc15_2_ipc04_a2_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,1,3,1012,0.19466666666666665,1.025390625,3.3600000000000003,dlc15_2_ipc04_a3_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,1,4,1012,0.19466666666666665,1.025390625,4.48,dlc15_2_ipc04_a4_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,2,1,2012,0.19466666666666665,1.025390625,1.12,dlc15_2_ipc04_a1_12_2012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,2,2,2012,0.19466666666666665,1.025390625,2.24,dlc15_2_ipc04_a2_12_2012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,2,3,2012,0.19466666666666665,1.025390625,3.3600000000000003,dlc15_2_ipc04_a3_12_2012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,2,4,2012,0.19466666666666665,1.025390625,4.48,dlc15_2_ipc04_a4_12_2012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,3,1,3012,0.19466666666666665,1.025390625,1.12,dlc15_2_ipc04_a1_12_3012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,3,2,3012,0.19466666666666665,1.025390625,2.24,dlc15_2_ipc04_a2_12_3012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,3,3,3012,0.19466666666666665,1.025390625,3.3600000000000003,dlc15_2_ipc04_a3_12_3012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc04,3,4,3012,0.19466666666666665,1.025390625,4.48,dlc15_2_ipc04_a4_12_3012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc07,1,1,1012,0.19466666666666665,1.025390625,1.39,dlc15_2_ipc07_a1_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc07,1,2,1012,0.19466666666666665,1.025390625,2.78,dlc15_2_ipc07_a2_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc07,1,3,1012,0.19466666666666665,1.025390625,4.17,dlc15_2_ipc07_a3_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc07,1,4,1012,0.19466666666666665,1.025390625,5.56,dlc15_2_ipc07_a4_12_1012
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,12,ipc07,2,1,2012,0.19466666666666665,1.025390625,1.39,dlc15_2_ipc07_a1_12_2012
